我的“希望工程”
发布,fābù,动,release
宣布,xuānbù,动,"declare, announce"
救助,jiùzhù,动,help sb. in difficulty
贫困,pínkùn,形,"poor, poverty-stricken"
失学,shī xué,动,discontinue one‘s studies
成千上万,chéng qiān shàng wàn,成,thousands upon thousands
重新,chóngxīn,副,again
颤抖,chàndǒu,动,quiver
拆,chāi,动,"(tear) open, take apart"
邮包,yóubāo,名,postal parcel
猛,měng,形,violent
葵花子,kuíhuāzǐ,名,sunflower seed
洒,sǎ,动,spill
模糊,móhu,形,blurred
轻易,qīngyì,副,easily
控制,kòngzhì,动,control
歪歪扭扭,wāiwāiniǔniǔ,形,crooked
讲述,jiǎngshù,动,tell
遥远,yáoyuǎn,形,remote
山沟,shāngōu,名,mountain area
恳求,kěnqiú,动,implore
胡同,hútòng,名,lane
命运,mìngyùn,名,"destiny, fate"
其实,qíshí,副,actually
贫穷,pínqióng,形,poor
而,ér,连,used to express coordination by connecting cause and effect or aim and means
不得不,bùdébù,,have no choice but to
凭,píng,介,base on
拒绝,jùjué,动,refuse
尽管,jǐnguǎn,连,though
感激,gǎnjī,动,be thankful
反复,fǎnfù,副、名,repeatedly; reversal
压力,yālì,名,pressure
感,gǎn,尾,"sense, feeling"
任何,rènhé,代,any
不安,bù‘ān,形,upset
出事,chū shì,动,meet with a mishap
传达室,chuándáshì,名,reception office
总算,zǒngsuàn,副,finally
盼,pàn,动,long for
平均,píngjūn,动、形,average
报答,bàodá,动,"repay, requite"
红薯,hóngshǔ,名,sweet potato
向日葵,xiàngrìkuí,名,sunflower
摸,mō,动,touch
富裕,fùyù,形,rich
打工,dǎ gōng,动,take a part-time or temporary job
对……来说,duì……láishuō,,indicating the person or thing to whom or which a statement pertains
算（是）,suàn(shì),副,regard as; consider
轻松,qīngsōng,形,easy
负担,fùdān,名、动,burden
无价之宝,wú jià zhī bǎo,,priceless treasure
心灵,xīnlíng,名,"heart, soul"
感受,gǎnshòu,动、名,feel; feeling
人间,rénjiān,名,the world
对得起,duìdeqǐ,动,be worthy of
无论,wúlùn,连,"no matter what/how, etc."
挫折,cuòzhé,名,"setback, reverse"
