差不多先生传
差不多,chàbuduō,形、副,"similar, not much different from"
传,zhuàn,名,biography
代表,dàibiǎo,名,representative
相貌,xiàngmào,名,"facial features, looks"
分明,fēnmíng,形,"clear, distinct"
气味,qìwèi,名,smell
口味,kǒuwèi,名,the flavor or taste of food
讲究,jiǎngjiu,形、动,exquisite; be particular about
记性,jìxing,名,memory
凡,fán,副,"every, all"
何必,hébì,副,"there is no need, why"
精细,jīngxì,形,careful
既……又……,jì……yòu……,,"both…… and……, as well as"
算,suàn,动,"calculate, reckon"
笑嘻嘻,xiàoxīxī,形,grinning
赔不是,péi búshi,,apologize
撇,piě,名,left-falling stroke (in chinese characters)
搭,dā,动,go by
从容,cóngróng,形,unhurried
迟,chí,形,late
白,bái,副,"for nothing, in vain"
瞪,dèng,动,glare
部门,bùmén,名,"department, branch"
未免,wèimiǎn,副,"a bit too, rather too"
一面……一面……,yímiàn……yímiàn……,,at the same time
一时,yìshí,副,for the time being
寻,xún,动,find
焦急,jiāojí,形,worried
好在,hǎozài,副,luckily
医,yī,动,"cure, give medical treatment "
治,zhì,动,"cure, give medical treatment "
气,qì,名,breath
断断续续,duànduànxùxù,形,intermittent
称赞,chēngzàn,动,praise
算账,suàn zhàng,动,"calculate, reckon accounts"
计较,jìjiào,动,"haggle over, fuss about"
德行,déxíng,名,moral conduct
法号,fǎhào,名,Buddhist monastic name
名声,míngshēng,名,reputation
无数,wúshù,形,countless
于是,yúshì,连,thereupon
从此,cóngcǐ,副,from now on
懒,lǎn,形,lazy
